testID,scientificNameID,scientificName,kingdom,phylum,class,family,genus,genericName,specificEpithet,taxonRank,scientificNameAuthorship,vernacularName,Response.status,Response.result,Response.comment
028_1,,,,,,,,,,,,,INTERNAL_PREREQUISITES_NOT_MET,,"dwc:scientificName, dwc:genericName, dwc:specificEpithet, dwc:infraspecificEpithet, dwc:scientificNameAuthorship, and dwc:cultivarEpithet are EMPTY"
028_2,,,,,,,,,,,,,INTERNAL_PREREQUISITES_NOT_MET,,All relevant taxon fields are EMPTY
028_3,x,,,,,,,,,,,,INTERNAL_PREREQUISITES_NOT_MET,,dwc:scientificNameID is NOT_EMPTY
028_4,null,Eucalyptus camaldulensis,,,,,,,,,,Red River Gum,INTERNAL_PREREQUISITES_NOT_MET,,dwc:scientificNameID is NOT_EMPTY
028_5,https://api.gbif.org/v1/species?name=Puma%20concord,,,,,,,,,,,,INTERNAL_PREREQUISITES_NOT_MET,,dwc:scientificNameID is NOT_EMPTY
028_6,,"Chicoreus palmarosae (Lamarck, 1822)",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Chicoreus,palmarosae,,"(Lamarck, 1822)",,EXTERNAL_PREREQUISITES_NOT_MET,,bdq:sourceAuthority unavailable
028_7,,"Chicoreus palmarosae (Lamarck, 1822)",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Chicoreus,palmarosae,,"(Lamarck, 1822)",,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:marinespecies.org:taxname:208134""}","dwc:scientificName matched to unique taxon record in WoRMS, exact match on name and authorship.  Resolvable at https://marinespecies.org/aphia.php?p=taxdetails&id=208134"
028_8,,Chicoreus palmarosae (Lamarck),Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Chicoreus,palmarosae,,(Lamarck),,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:marinespecies.org:taxname:208134""}","dwc:scientificName matched to unique taxon record in WoRMS, exact match on name and partial match on authorship.  Resolvable at https://marinespecies.org/aphia.php?p=taxdetails&id=208134"
028_9,,"Chicoreus palmarosae (L., 1822)",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Chicoreus,palmarosae,,"(L., 1822)",,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:marinespecies.org:taxname:208134""}","dwc:scientificName matched to unique taxon record in WoRMS, exact match on name and match on authorship with common abbreviation.  Resolvable at https://marinespecies.org/aphia.php?p=taxdetails&id=208134"
028_10,,"Triplex rosaria Perry, 1811",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Triplex,rosarium,,"Perry, 1811",,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:marinespecies.org:taxname:406078""}","dwc:scientificName matched to unique taxon record in WoRMS, unique fuzzy match on name and exact match on authorship.  Resolvable at https://marinespecies.org/aphia.php?p=taxdetails&id=406078"
